date,region,product,units,sales
2024-01-01,North,Phone,120,24000
2024-01-01,North,Laptop,45,90000
2024-01-01,North,Tablet,80,48000
2024-01-01,South,Phone,95,19000
2024-01-01,South,Laptop,30,60000
2024-01-01,South,Tablet,60,36000
2024-01-01,East,Phone,110,22000
2024-01-01,East,Laptop,40,80000
2024-01-01,East,Tablet,70,42000
2024-01-01,West,Phone,85,17000
2024-01-01,West,Laptop,35,70000
2024-01-01,West,Tablet,55,33000
2024-01-02,North,Phone,130,26000
2024-01-02,North,Laptop,50,100000
2024-01-02,North,Tablet,90,54000
2024-01-02,South,Phone,88,17600
2024-01-02,South,Laptop,28,56000
2024-01-02,South,Tablet,58,34800
2024-01-02,East,Phone,105,21000
2024-01-02,East,Laptop,38,76000
2024-01-02,East,Tablet,68,40800
2024-01-02,West,Phone,80,16000
2024-01-02,West,Laptop,32,64000
2024-01-02,West,Tablet,52,31200
2024-01-03,North,Phone,115,23000
2024-01-03,North,Laptop,42,84000
2024-01-03,North,Tablet,75,45000
2024-01-03,South,Phone,92,18400
2024-01-03,South,Laptop,31,62000
2024-01-03,South,Tablet,62,37200
2024-01-03,East,Phone,108,21600
2024-01-03,East,Laptop,41,82000
2024-01-03,East,Tablet,72,43200
2024-01-03,West,Phone,82,16400
2024-01-03,West,Laptop,33,66000
2024-01-03,West,Tablet,54,32400
2024-01-04,North,Phone,125,25000
2024-01-04,North,Laptop,48,96000
2024-01-04,North,Tablet,85,51000
2024-01-04,South,Phone,90,18000
2024-01-04,South,Laptop,29,58000
2024-01-04,South,Tablet,59,35400
2024-01-04,East,Phone,112,22400
2024-01-04,East,Laptop,39,78000
2024-01-04,East,Tablet,69,41400
2024-01-04,West,Phone,78,15600
2024-01-04,West,Laptop,31,62000
2024-01-04,West,Tablet,51,30600
2024-01-05,North,Phone,118,23600
2024-01-05,North,Laptop,44,88000
2024-01-05,North,Tablet,78,46800
2024-01-05,South,Phone,94,18800
2024-01-05,South,Laptop,30,60000
2024-01-05,South,Tablet,61,36600
2024-01-05,East,Phone,106,21200
2024-01-05,East,Laptop,40,80000
2024-01-05,East,Tablet,71,42600
2024-01-05,West,Phone,81,16200
2024-01-05,West,Laptop,34,68000
2024-01-05,West,Tablet,53,31800
2024-01-06,North,Phone,122,24400
2024-01-06,North,Laptop,46,92000
2024-01-06,North,Tablet,82,49200
2024-01-06,South,Phone,91,18200
2024-01-06,South,Laptop,27,54000
2024-01-06,South,Tablet,57,34200
2024-01-06,East,Phone,109,21800
2024-01-06,East,Laptop,37,74000
2024-01-06,East,Tablet,67,40200
2024-01-06,West,Phone,79,15800
2024-01-06,West,Laptop,30,60000
2024-01-06,West,Tablet,50,30000
2024-01-07,North,Phone,127,25400
2024-01-07,North,Laptop,49,98000
2024-01-07,North,Tablet,87,52200
2024-01-07,South,Phone,89,17800
2024-01-07,South,Laptop,26,52000
2024-01-07,South,Tablet,56,33600
2024-01-07,East,Phone,111,22200
2024-01-07,East,Laptop,36,72000
2024-01-07,East,Tablet,66,39600
2024-01-07,West,Phone,77,15400
2024-01-07,West,Laptop,29,58000
2024-01-07,West,Tablet,49,29400
2024-01-08,North,Phone,116,23200
2024-01-08,North,Laptop,43,86000
2024-01-08,North,Tablet,76,45600
2024-01-08,South,Phone,93,18600
2024-01-08,South,Laptop,32,64000
2024-01-08,South,Tablet,63,37800
2024-01-08,East,Phone,107,21400
2024-01-08,East,Laptop,42,84000
2024-01-08,East,Tablet,73,43800
2024-01-08,West,Phone,83,16600
2024-01-08,West,Laptop,35,70000
2024-01-08,West,Tablet,55,33000
2024-01-09,North,Phone,121,24200
2024-01-09,North,Laptop,47,94000
2024-01-09,North,Tablet,81,48600
2024-01-09,South,Phone,87,17400
2024-01-09,South,Laptop,25,50000
2024-01-09,South,Tablet,55,33000
2024-01-09,East,Phone,104,20800
2024-01-09,East,Laptop,35,70000
2024-01-09,East,Tablet,65,39000
2024-01-09,West,Phone,76,15200
2024-01-09,West,Laptop,28,56000
2024-01-09,West,Tablet,48,28800
2024-01-10,North,Phone,124,24800
2024-01-10,North,Laptop,45,90000
2024-01-10,North,Tablet,79,47400
2024-01-10,South,Phone,96,19200
2024-01-10,South,Laptop,33,66000
2024-01-10,South,Tablet,64,38400
2024-01-10,East,Phone,110,22000
2024-01-10,East,Laptop,39,78000
2024-01-10,East,Tablet,70,42000
2024-01-10,West,Phone,84,16800
2024-01-10,West,Laptop,36,72000
2024-01-10,West,Tablet,56,33600
